2018-05-31 14:21:29 2792: INFO  RequestMappingHandlerMapping - Mapped "{[/user],methods=[POST],consumes=[application/json;charset=UTF-8]}" onto public java.lang.String com.haier.btb.demo.controller.DemoController.createUser(com.haier.btb.demo.domain.User)
2018-05-31 14:21:29 2792: INFO  RequestMappingHandlerMapping - Mapped "{[/hello]}" onto public java.lang.String com.haier.btb.demo.controller.DemoController.sayHello(java.util.Map<java.lang.String, java.lang.Object>)
2018-05-31 14:21:29 2792: INFO  RequestMappingHandlerMapping - Mapped "{[/testPost],methods=[POST],consumes=[application/json;charset=UTF-8]}" onto public java.lang.String com.haier.btb.demo.controller.TestController.createUser(com.haier.btb.demo.domain.User)
2018-05-31 14:21:29 2792: INFO  RequestMappingHandlerMapping - Mapped "{[/test]}" onto public java.lang.String com.haier.btb.demo.controller.TestController.sayHello(java.util.Map<java.lang.String, java.lang.Object>)
2018-05-31 14:21:29 2792: INFO  RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-05-31 14:21:29 2792: INFO  RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-05-31 14:21:29 2792: INFO  SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-05-31 14:21:29 2792: INFO  SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-05-31 14:21:29 2792: INFO  SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-05-31 14:21:31 2792: INFO  FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-05-31 14:21:32 2792: WARN  URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2018-05-31 14:21:32 2792: INFO  URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-05-31 14:21:32 2792: WARN  URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2018-05-31 14:21:32 2792: INFO  URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2018-05-31 14:21:33 2792: INFO  AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-05-31 14:21:33 2792: INFO  AnnotationMBeanExporter - Bean with name 'dataSource1' has been autodetected for JMX exposure
2018-05-31 14:21:33 2792: INFO  AnnotationMBeanExporter - Bean with name 'configurationPropertiesRebinder' has been autodetected for JMX exposure
2018-05-31 14:21:33 2792: INFO  AnnotationMBeanExporter - Bean with name 'environmentManager' has been autodetected for JMX exposure
2018-05-31 14:21:33 2792: INFO  AnnotationMBeanExporter - Bean with name 'refreshScope' has been autodetected for JMX exposure
2018-05-31 14:21:33 2792: INFO  AnnotationMBeanExporter - Located managed bean 'environmentManager': registering with JMX server as MBean [org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager]
2018-05-31 14:21:33 2792: INFO  AnnotationMBeanExporter - Located managed bean 'refreshScope': registering with JMX server as MBean [org.springframework.cloud.context.scope.refresh:name=refreshScope,type=RefreshScope]
2018-05-31 14:21:33 2792: INFO  AnnotationMBeanExporter - Located managed bean 'configurationPropertiesRebinder': registering with JMX server as MBean [org.springframework.cloud.context.properties:name=configurationPropertiesRebinder,context=12a160c2,type=ConfigurationPropertiesRebinder]
2018-05-31 14:21:33 2792: INFO  AnnotationMBeanExporter - Located MBean 'dataSource1': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource1,type=HikariDataSource]
2018-05-31 14:21:33 2792: INFO  Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
